,LoF_T,LoF_UT,LoF_OR,LoF_P_value,Missense_T,Missense_UT,Missense_OR,Missense_P_value,LoF.Missense_T,LoF.Missense_UT,LoF.Missense_OR,LoF.Missense_P_value
KIAA0319L,0,0,0,1,0,0,0,1,0,0,0,1
NCDN,0,0,0,1,6,5,1.199990875,0.5,6,5,1.199990875,0.5
TFAP2E,1,1,1,0.75,0,0,0,1,1,1,1,0.75
PSMB2,0,0,0,1,0,0,0,1,0,0,0,1
C1orf216,0,0,0,1,0,0,0,1,0,0,0,1
CLSPN,0,1,0,1,0,0,0,1,0,1,0,1
AGO4,0,0,0,1,7,7,1,0.604736328,7,7,1,0.604736328
AGO1,0,0,0,1,1,1,1,0.75,1,1,1,0.75
AGO3,0,0,0,1,3,3,1,0.65625,3,3,1,0.65625
TEKT2,2,3,0.666679308,0.8125,0,0,0,1,2,3,0.666679308,0.8125
ADPRHL2,0,0,0,1,0,0,0,1,0,0,0,1
COL8A2,0,0,0,1,0,0,0,1,0,0,0,1
TRAPPC3,0,0,0,1,0,0,0,1,0,0,0,1
MAP7D1,0,0,0,1,7,5,1.399978104,0.387207031,7,5,1.399978104,0.387207031
TPRG1L,4,1,3.999558501,0.1875,0,0,0,1,4,1,3.999558501,0.1875
THRAP3,0,0,0,1,0,0,0,1,0,0,0,1
SH3D21,1,0,Inf,0.5,0,0,0,1,1,0,Inf,0.5
WRAP73,1,0,Inf,0.5,0,0,0,1,1,0,Inf,0.5
EVA1B,0,0,0,1,2,1,1.999942981,0.5,2,1,1.999942981,0.5
STK40,0,0,0,1,0,0,0,1,0,0,0,1
LSM10,0,1,0,1,0,0,0,1,0,1,0,1
OSCP1,0,4,0,1,0,0,0,1,0,4,0,1
MRPS15,32,29,1.103435294,0.399076314,0,0,0,1,32,29,1.103435294,0.399076314
CSF3R,0,0,0,1,0,0,0,1,0,0,0,1
GRIK3,0,0,0,1,0,0,0,1,0,0,0,1
TP73,0,0,0,1,4,4,1,0.63671875,4,4,1,0.63671875
ZC3H12A,0,0,0,1,0,0,0,1,0,0,0,1
MEAF6,0,0,0,1,0,0,0,1,0,0,0,1
CCDC27,17,23,0.739140699,0.865906374,0,0,0,1,17,23,0.739140699,0.865906374
SNIP1,0,0,0,1,0,0,0,1,0,0,0,1
DNALI1,15,10,1.499971548,0.212178111,0,0,0,1,15,10,1.499971548,0.212178111
GNL2,1,2,0.500014255,0.875,0,0,0,1,1,2,0.500014255,0.875
RSPO1,2,1,1.999942981,0.5,0,0,0,1,2,1,1.999942981,0.5
C1orf109,21,23,0.913060519,0.674206086,0,0,0,1,21,23,0.913060519,0.674206086
CDCA8,0,0,0,1,0,0,0,1,0,0,0,1
EPHA10,15,15,1,0.572232224,2,6,0.333324491,0.96484375,17,21,0.809531169,0.791153905
MANEAL,0,0,0,1,1,0,Inf,0.5,1,0,Inf,0.5
YRDC,0,0,0,1,0,0,0,1,0,0,0,1
C1orf122,0,0,0,1,2,4,0.500014255,0.890625,2,4,0.500014255,0.890625
LRRC47,0,1,0,1,14,14,1,0.57472299,14,15,0.933306392,0.644464448
MTF1,0,0,0,1,0,1,0,1,0,1,0,1
INPP5B,9,9,1,0.592735291,0,0,0,1,9,9,1,0.592735291
SF3A3,0,0,0,1,1,1,1,0.75,1,1,1,0.75
FHL3,0,0,0,1,0,0,0,1,0,0,0,1
CEP104,5,2,2.500066806,0.2265625,0,0,0,1,5,2,2.500066806,0.2265625
DFFB,2,0,Inf,0.25,0,0,0,1,2,0,Inf,0.25
RRAGC,0,0,0,1,0,0,0,1,0,0,0,1
MYCBP,2,2,1,0.6875,0,0,0,1,2,2,1,0.6875
GJA9,0,0,0,1,0,0,0,1,0,0,0,1
RHBDL2,8,6,1.333315842,0.395263672,0,0,0,1,8,6,1.333315842,0.395263672
C1orf174,3,5,0.600013957,0.85546875,0,0,0,1,3,5,0.600013957,0.85546875
AKIRIN1,0,0,0,1,0,0,0,1,0,0,0,1
NDUFS5,0,0,0,1,0,0,0,1,0,0,0,1
MACF1,0,0,0,1,1,2,0.500014255,0.875,1,2,0.500014255,0.875
BMP8A,1,1,1,0.75,3,8,0.374991008,0.967285156,4,9,0.444428746,0.953857422
PABPC4,0,0,0,1,1,1,1,0.75,1,1,1,0.75
HEYL,1,0,Inf,0.5,0,0,0,1,1,0,Inf,0.5
NT5C1A,2,4,0.500014255,0.890625,0,0,0,1,2,4,0.500014255,0.890625
HPCAL4,0,0,0,1,0,0,0,1,0,0,0,1
PPIE,0,0,0,1,0,0,0,1,0,0,0,1
BMP8B,3,2,1.499971557,0.5,0,0,0,1,3,2,1.499971557,0.5
TRIT1,36,42,0.857148179,0.785896482,0,0,0,1,36,42,0.857148179,0.785896482
MYCL,0,0,0,1,0,0,0,1,0,0,0,1
MFSD2A,0,0,0,1,0,0,0,1,0,0,0,1
CAP1,0,0,0,1,0,0,0,1,0,0,0,1
PPT1,3,3,1,0.65625,0,0,0,1,3,3,1,0.65625
RLF,0,0,0,1,0,0,0,1,0,0,0,1
TMCO2,4,8,0.500014256,0.927001953,0,0,0,1,4,8,0.500014256,0.927001953
ZMPSTE24,2,5,0.399989311,0.9375,0,0,0,1,2,5,0.399989311,0.9375
COL9A2,1,2,0.500014255,0.875,0,0,0,1,1,2,0.500014255,0.875
SMAP2,16,17,0.941155226,0.63583376,0,0,0,1,16,17,0.941155226,0.63583376
ZFP69B,4,5,0.800007768,0.74609375,0,0,0,1,4,5,0.800007768,0.74609375
ZFP69,0,1,0,1,0,0,0,1,0,1,0,1
EXO5,8,11,0.727283434,0.820358276,0,0,0,1,8,11,0.727283434,0.820358276
ZNF684,1,1,1,0.75,0,0,0,1,1,1,1,0.75
RIMS3,0,0,0,1,0,0,0,1,0,0,0,1
NFYC,0,0,0,1,29,24,1.208323723,0.291566077,29,24,1.208323723,0.291566077
KCNQ4,0,0,0,1,18,9,1.99994297,0.06103906,18,9,1.99994297,0.06103906
CITED4,0,0,0,1,0,0,0,1,0,0,0,1
CTPS1,7,6,1.166659418,0.5,3,3,1,0.65625,10,9,1.111105227,0.5
SLFNL1,9,15,0.60001396,0.924205184,0,0,0,1,9,15,0.60001396,0.924205184
SCMH1,3,1,3.000079991,0.3125,9,6,1.499971552,0.303619385,12,7,1.714244155,0.179641724
FOXO6,0,0,0,1,3,2,1.499971557,0.5,3,2,1.499971557,0.5
EDN2,0,0,0,1,0,0,0,1,0,0,0,1
HIVEP3,0,0,0,1,0,0,0,1,0,0,0,1
GUCA2B,0,0,0,1,0,0,0,1,0,0,0,1
GUCA2A,0,0,0,1,0,0,0,1,0,0,0,1
FOXJ3,0,0,0,1,0,0,0,1,0,0,0,1
RIMKLA,0,0,0,1,0,0,0,1,0,0,0,1
ZMYND12,3,2,1.499971557,0.5,0,0,0,1,3,2,1.499971557,0.5
PPCS,0,0,0,1,0,0,0,1,0,0,0,1
CCDC30,1,1,1,0.75,0,0,0,1,1,1,1,0.75
PPIH,0,1,0,1,0,0,0,1,0,1,0,1
YBX1,0,0,0,1,5,6,0.83333967,0.725585938,5,6,0.83333967,0.725585938
CLDN19,1,0,Inf,0.5,0,0,0,1,1,0,Inf,0.5
C1orf50,2,5,0.399989311,0.9375,0,0,0,1,2,5,0.399989311,0.9375
ERMAP,3,1,3.000079991,0.3125,0,0,0,1,3,1,3.000079991,0.3125
ZNF691,0,0,0,1,0,0,0,1,0,0,0,1
SLC2A1,0,0,0,1,9,6,1.499971552,0.303619385,9,6,1.499971552,0.303619385
FAM183A,6,15,0.399989443,0.986698151,0,0,0,1,6,15,0.399989443,0.986698151
EBNA1BP2,6,9,0.66667931,0.849121094,0,0,0,1,6,9,0.66667931,0.849121094
TMEM125,4,3,1.333315843,0.5,0,0,0,1,4,3,1.333315843,0.5
C1orf210,2,1,1.999942981,0.5,0,0,0,1,2,1,1.999942981,0.5
TIE1,2,7,0.285751806,0.98046875,0,0,0,1,2,7,0.285751806,0.98046875
MPL,5,7,0.714296886,0.806152344,0,0,0,1,5,7,0.714296886,0.806152344
CDC20,3,0,Inf,0.125,0,0,0,1,3,0,Inf,0.125
ELOVL1,0,0,0,1,0,1,0,1,0,1,0,1
MED8,0,4,0,1,0,0,0,1,0,4,0,1
SZT2,1,0,Inf,0.5,0,0,0,1,1,0,Inf,0.5
HYI,8,2,3.999557911,0.0546875,0,0,0,1,8,2,3.999557911,0.0546875
PTPRF,0,0,0,1,29,18,1.611075662,0.071932544,29,18,1.611075662,0.071932544
KDM4A,0,0,0,1,3,4,0.750009838,0.7734375,3,4,0.750009838,0.7734375
ST3GAL3,0,0,0,1,0,0,0,1,0,0,0,1
ARTN,0,0,0,1,2,3,0.666679308,0.8125,2,3,0.666679308,0.8125
IPO13,0,0,0,1,3,0,Inf,0.125,3,0,Inf,0.125
DPH2,0,0,0,1,0,0,0,1,0,0,0,1
ATP6V0B,0,0,0,1,1,0,Inf,0.5,1,0,Inf,0.5
B4GALT2,0,0,0,1,0,0,0,1,0,0,0,1
CCDC24,0,1,0,1,0,0,0,1,0,1,0,1
SLC6A9,1,0,Inf,0.5,1,3,0.333324446,0.9375,2,3,0.666679308,0.8125
KLF17,6,3,1.999942979,0.25390625,0,0,0,1,6,3,1.999942979,0.25390625
DMAP1,0,0,0,1,1,3,0.333324446,0.9375,1,3,0.333324446,0.9375
ERI3,0,0,0,1,0,0,0,1,0,0,0,1
RNF220,0,0,0,1,1,1,1,0.75,1,1,1,0.75
TMEM53,0,0,0,1,0,0,0,1,0,0,0,1
KIF2C,0,1,0,1,0,0,0,1,0,1,0,1
RPS8,0,0,0,1,0,0,0,1,0,0,0,1
BEST4,7,11,0.636376993,0.881057739,28,28,1,0.553073453,35,39,0.897439575,0.719309628
PLK3,0,2,0,1,0,0,0,1,0,2,0,1
TCTEX1D4,1,1,1,0.75,6,3,1.999942979,0.25390625,7,4,1.749956404,0.274414063
BTBD19,2,0,Inf,0.25,0,0,0,1,2,0,Inf,0.25
PTCH2,14,6,2.333407274,0.057659149,0,0,0,1,14,6,2.333407274,0.057659149
EIF2B3,0,0,0,1,0,0,0,1,0,0,0,1
HECTD3,1,2,0.500014255,0.875,5,5,1,0.623046875,6,7,0.857148182,0.709472656
UROD,2,1,1.999942981,0.5,0,0,0,1,2,1,1.999942981,0.5
ZSWIM5,0,0,0,1,13,6,2.166601195,0.083534241,13,6,2.166601195,0.083534241
HPDL,1,1,1,0.75,0,0,0,1,1,1,1,0.75
MUTYH,5,11,0.454559327,0.961593628,0,0,0,1,5,11,0.454559327,0.961593628
TOE1,0,2,0,1,0,0,0,1,0,2,0,1
TESK2,2,2,1,0.6875,0,0,0,1,2,2,1,0.6875
MMACHC,5,4,1.249987863,0.5,0,0,0,1,5,4,1.249987863,0.5
PRDX1,0,0,0,1,0,0,0,1,0,0,0,1
AKR1A1,13,11,1.181810096,0.419409871,0,0,0,1,13,11,1.181810096,0.419409871
NASP,0,1,0,1,0,0,0,1,0,1,0,1
CCDC17,2,3,0.666679308,0.8125,0,0,0,1,2,3,0.666679308,0.8125
GPBP1L1,1,0,Inf,0.5,0,0,0,1,1,0,Inf,0.5
TMEM69,0,0,0,1,0,0,0,1,0,0,0,1
IPP,0,3,0,1,0,0,0,1,0,3,0,1
MAST2,1,2,0.500014255,0.875,13,13,1,0.577490509,14,15,0.933306392,0.644464448
PIK3R3,2,1,1.999942981,0.5,0,0,0,1,2,1,1.999942981,0.5
TSPAN1,0,0,0,1,0,0,0,1,0,0,0,1
POMGNT1,6,5,1.199990875,0.5,0,0,0,1,6,5,1.199990875,0.5
LURAP1,0,0,0,1,0,0,0,1,0,0,0,1
RAD54L,4,8,0.500014256,0.927001953,0,0,0,1,4,8,0.500014256,0.927001953
LRRC41,0,0,0,1,0,0,0,1,0,0,0,1
UQCRH,0,0,0,1,0,0,0,1,0,0,0,1
NSUN4,12,13,0.923102804,0.654981017,0,0,0,1,12,13,0.923102804,0.654981017
FAAH,2,5,0.399989311,0.9375,0,0,0,1,2,5,0.399989311,0.9375
DMBX1,0,0,0,1,0,0,0,1,0,0,0,1
KNCN,1,3,0.333324446,0.9375,0,0,0,1,1,3,0.333324446,0.9375
MKNK1,1,0,Inf,0.5,0,0,0,1,1,0,Inf,0.5
MOB3C,3,1,3.000079991,0.3125,0,0,0,1,3,1,3.000079991,0.3125
ATPAF1,0,1,0,1,0,0,0,1,0,1,0,1
TEX38,7,2,3.499540442,0.08984375,0,0,0,1,7,2,3.499540442,0.08984375
EFCAB14,0,0,0,1,0,0,0,1,0,0,0,1
CYP4B1,22,27,0.814821947,0.804198545,0,0,0,1,22,27,0.814821947,0.804198545
CYP4A11,0,0,0,1,0,0,0,1,0,0,0,1
CYP4X1,4,1,3.999558501,0.1875,0,0,0,1,4,1,3.999558501,0.1875
CYP4Z1,0,0,0,1,0,0,0,1,0,0,0,1
AJAP1,0,0,0,1,0,0,0,1,0,0,0,1
CYP4A22,0,0,0,1,0,0,0,1,0,0,0,1
PDZK1IP1,2,4,0.500014255,0.890625,0,0,0,1,2,4,0.500014255,0.890625
TAL1,0,0,0,1,0,0,0,1,0,0,0,1
STIL,0,1,0,1,0,0,0,1,0,1,0,1
CMPK1,0,0,0,1,0,0,0,1,0,0,0,1
TRABD2B,0,0,0,1,0,1,0,1,0,1,0,1
SLC5A9,31,27,1.148141891,0.347002047,0,0,0,1,31,27,1.148141891,0.347002047
SPATA6,3,3,1,0.65625,0,0,0,1,3,3,1,0.65625
AGBL4,6,0,Inf,0.015625,0,0,0,1,6,0,Inf,0.015625
BEND5,0,4,0,1,0,0,0,1,0,4,0,1
ELAVL4,0,0,0,1,0,0,0,1,0,0,0,1
FAF1,0,1,0,1,1,0,Inf,0.5,1,1,1,0.75
CDKN2C,0,0,0,1,0,0,0,1,0,0,0,1
C1orf185,1,0,Inf,0.5,0,0,0,1,1,0,Inf,0.5
RNF11,0,0,0,1,0,0,0,1,0,0,0,1
TTC39A,0,0,0,1,0,0,0,1,0,0,0,1
EPS15,1,1,1,0.75,0,0,0,1,1,1,1,0.75
OSBPL9,0,1,0,1,3,3,1,0.65625,3,4,0.750009838,0.7734375
RAB3B,0,0,0,1,0,0,0,1,0,0,0,1
TXNDC12,0,2,0,1,0,0,0,1,0,2,0,1
KTI12,10,8,1.249987863,0.407264709,0,0,0,1,10,8,1.249987863,0.407264709
BTF3L4,0,0,0,1,0,0,0,1,0,0,0,1
ZFYVE9,0,1,0,1,0,0,0,1,0,1,0,1
CC2D1B,5,7,0.714296886,0.806152344,0,0,0,1,5,7,0.714296886,0.806152344
ORC1,1,2,0.500014255,0.875,0,0,0,1,1,2,0.500014255,0.875
PRPF38A,0,0,0,1,0,1,0,1,0,1,0,1
GPX7,4,5,0.800007768,0.74609375,0,0,0,1,4,5,0.800007768,0.74609375
COA7,0,0,0,1,0,0,0,1,0,0,0,1
ZYG11B,0,1,0,1,1,1,1,0.75,1,2,0.500014255,0.875
ZYG11A,5,12,0.41665444,0.975479126,0,0,0,1,5,12,0.41665444,0.975479126
ECHDC2,9,1,8.999459881,0.010742188,0,0,0,1,9,1,8.999459881,0.010742188
SCP2,1,2,0.500014255,0.875,0,0,0,1,1,2,0.500014255,0.875
PODN,4,1,3.999558501,0.1875,0,0,0,1,4,1,3.999558501,0.1875
SLC1A7,0,3,0,1,0,0,0,1,0,3,0,1
CPT2,4,1,3.999558501,0.1875,0,0,0,1,4,1,3.999558501,0.1875
C1orf123,6,3,1.999942979,0.25390625,0,0,0,1,6,3,1.999942979,0.25390625
MAGOH,0,0,0,1,1,1,1,0.75,1,1,1,0.75
LRP8,0,0,0,1,6,1,5.999575592,0.0625,6,1,5.999575592,0.0625
DMRTB1,0,0,0,1,0,0,0,1,0,0,0,1
GLIS1,0,0,0,1,1,0,Inf,0.5,1,0,Inf,0.5
NDC1,0,0,0,1,0,0,0,1,0,0,0,1
YIPF1,8,4,1.999942977,0.193847656,0,0,0,1,8,4,1.999942977,0.193847656
DIO1,6,10,0.600013959,0.894943237,0,0,0,1,6,10,0.600013959,0.894943237
HSPB11,0,0,0,1,0,0,0,1,0,0,0,1
LRRC42,14,7,1.999942973,0.094623566,0,0,0,1,14,7,1.999942973,0.094623566
LDLRAD1,7,12,0.583347475,0.916465759,0,0,0,1,7,12,0.583347475,0.916465759
TMEM59,6,4,1.499971555,0.376953125,0,0,0,1,6,4,1.499971555,0.376953125
TCEANC2,1,0,Inf,0.5,0,0,0,1,1,0,Inf,0.5
CDCP2,2,1,1.999942981,0.5,0,0,0,1,2,1,1.999942981,0.5
CYB5RL,9,4,2.250079475,0.133422852,0,0,0,1,9,4,2.250079475,0.133422852
MRPL37,1,0,Inf,0.5,0,0,0,1,1,0,Inf,0.5
SSBP3,0,0,0,1,1,3,0.333324446,0.9375,1,3,0.333324446,0.9375
ACOT11,4,7,0.571442807,0.88671875,0,0,0,1,4,7,0.571442807,0.88671875
FAM151A,34,48,0.70834472,0.951484544,0,0,0,1,34,48,0.70834472,0.951484544
MROH7,6,19,0.315775382,0.997961342,0,0,0,1,6,19,0.315775382,0.997961342
TTC4,16,10,1.599965244,0.163469791,0,0,0,1,16,10,1.599965244,0.163469791
PARS2,0,0,0,1,0,0,0,1,0,0,0,1
TTC22,16,9,1.77773261,0.114761472,0,0,0,1,16,9,1.77773261,0.114761472
DHCR24,1,2,0.500014255,0.875,3,2,1.499971557,0.5,4,4,1,0.63671875
TMEM61,0,0,0,1,0,0,0,1,0,0,0,1
BSND,1,0,Inf,0.5,0,0,0,1,1,0,Inf,0.5
PCSK9,2,0,Inf,0.25,0,0,0,1,2,0,Inf,0.25
USP24,1,2,0.500014255,0.875,0,0,0,1,1,2,0.500014255,0.875
PRKAA2,0,0,0,1,0,0,0,1,0,0,0,1
C8A,6,3,1.999942979,0.25390625,0,0,0,1,6,3,1.999942979,0.25390625
C8B,11,15,0.733343816,0.836530209,0,0,0,1,11,15,0.733343816,0.836530209
DAB1,0,0,0,1,0,0,0,1,0,0,0,1
OMA1,1,3,0.333324446,0.9375,0,0,0,1,1,3,0.333324446,0.9375
TACSTD2,0,0,0,1,0,0,0,1,0,0,0,1
NPHP4,12,5,2.40007043,0.071731567,0,0,0,1,12,5,2.40007043,0.071731567
MYSM1,4,5,0.800007768,0.74609375,3,8,0.374991008,0.967285156,7,13,0.538475896,0.942340851
JUN,0,0,0,1,0,2,0,1,0,2,0,1
FGGY,19,11,1.727230414,0.100244211,0,0,0,1,19,11,1.727230414,0.100244211
HOOK1,2,3,0.666679308,0.8125,0,0,0,1,2,3,0.666679308,0.8125
CYP2J2,9,11,0.818188806,0.748277664,0,0,0,1,9,11,0.818188806,0.748277664
C1orf87,4,2,1.99994298,0.34375,0,0,0,1,4,2,1.99994298,0.34375
KCNAB2,0,0,0,1,6,8,0.750009839,0.788024902,6,8,0.750009839,0.788024902
CHD5,0,0,0,1,14,18,0.777786487,0.811457206,14,18,0.777786487,0.811457206
NFIA,0,0,0,1,4,4,1,0.63671875,4,4,1,0.63671875
TM2D1,0,0,0,1,0,0,0,1,0,0,0,1
RNF207,6,3,1.999942979,0.25390625,0,0,0,1,6,3,1.999942979,0.25390625
L1TD1,0,0,0,1,0,0,0,1,0,0,0,1
KANK4,5,7,0.714296886,0.806152344,0,0,0,1,5,7,0.714296886,0.806152344
ICMT,0,0,0,1,0,0,0,1,0,0,0,1
USP1,0,0,0,1,0,0,0,1,0,0,0,1
HES3,0,0,0,1,0,3,0,1,0,3,0,1
DOCK7,0,1,0,1,0,0,0,1,0,1,0,1
GPR153,1,0,Inf,0.5,0,0,0,1,1,0,Inf,0.5
ANGPTL3,20,15,1.333315839,0.249779917,0,0,0,1,20,15,1.333315839,0.249779917
ACOT7,0,0,0,1,0,1,0,1,0,1,0,1
ATG4C,30,24,1.249987863,0.248308718,0,0,0,1,30,24,1.249987863,0.248308718
ALG6,0,0,0,1,0,0,0,1,0,0,0,1
ITGB3BP,0,0,0,1,0,0,0,1,0,0,0,1
EFCAB7,9,6,1.499971552,0.303619385,0,0,0,1,9,6,1.499971552,0.303619385
PGM1,1,2,0.500014255,0.875,0,0,0,1,1,2,0.500014255,0.875
ROR1,0,0,0,1,0,0,0,1,0,0,0,1
HES2,0,0,0,1,0,0,0,1,0,0,0,1
UBE2U,0,1,0,1,0,0,0,1,0,1,0,1
ESPN,0,1,0,1,0,0,0,1,0,1,0,1
CACHD1,1,3,0.333324446,0.9375,0,0,0,1,1,3,0.333324446,0.9375
TNFRSF25,1,1,1,0.75,0,2,0,1,1,3,0.333324446,0.9375
PLEKHG5,5,3,1.666627899,0.36328125,0,0,0,1,5,3,1.666627899,0.36328125
RAVER2,1,2,0.500014255,0.875,0,0,0,1,1,2,0.500014255,0.875
JAK1,0,1,0,1,4,4,1,0.63671875,4,5,0.800007768,0.74609375
AK4,0,0,0,1,1,0,Inf,0.5,1,0,Inf,0.5
NOL9,0,0,0,1,0,0,0,1,0,0,0,1
DNAJC6,1,0,Inf,0.5,0,0,0,1,1,0,Inf,0.5
LEPROT,2,1,1.999942981,0.5,0,0,0,1,2,1,1.999942981,0.5
TAS1R1,10,9,1.111105227,0.5,0,0,0,1,10,9,1.111105227,0.5
LEPR,1,0,Inf,0.5,0,0,0,1,1,0,Inf,0.5
ZBTB48,0,1,0,1,0,0,0,1,0,1,0,1
PDE4B,0,0,0,1,0,0,0,1,0,0,0,1
KLHL21,1,1,1,0.75,11,6,1.833285107,0.166152954,12,7,1.714244155,0.179641724
PHF13,0,0,0,1,2,0,Inf,0.25,2,0,Inf,0.25
THAP3,0,0,0,1,0,0,0,1,0,0,0,1
DNAJC11,0,0,0,1,0,0,0,1,0,0,0,1
SGIP1,0,0,0,1,0,0,0,1,0,0,0,1
TCTEX1D1,0,0,0,1,0,0,0,1,0,0,0,1
INSL5,0,0,0,1,0,0,0,1,0,0,0,1
WDR78,11,12,0.916687019,0.661180258,0,0,0,1,11,12,0.916687019,0.661180258
MIER1,3,1,3.000079991,0.3125,0,1,0,1,3,2,1.499971557,0.5
SLC35D1,2,1,1.999942981,0.5,0,0,0,1,2,1,1.999942981,0.5
C1orf141,0,0,0,1,0,0,0,1,0,0,0,1
IL23R,0,0,0,1,0,0,0,1,0,0,0,1
IL12RB2,2,1,1.999942981,0.5,0,0,0,1,2,1,1.999942981,0.5
SERBP1,0,0,0,1,0,2,0,1,0,2,0,1
GADD45A,0,0,0,1,0,0,0,1,0,0,0,1
GNG12,0,0,0,1,0,0,0,1,0,0,0,1
WLS,1,0,Inf,0.5,0,0,0,1,1,0,Inf,0.5
CAMTA1,0,0,0,1,0,0,0,1,0,0,0,1
RPE65,6,4,1.499971555,0.376953125,0,0,0,1,6,4,1.499971555,0.376953125
DEPDC1,3,2,1.499971557,0.5,0,0,0,1,3,2,1.499971557,0.5
LRRC7,4,5,0.800007768,0.74609375,3,1,3.000079991,0.3125,7,6,1.166659418,0.5
LRRC40,3,6,0.500014256,0.91015625,0,0,0,1,3,6,0.500014256,0.91015625
SRSF11,0,0,0,1,1,0,Inf,0.5,1,0,Inf,0.5
ANKRD13C,0,0,0,1,0,0,0,1,0,0,0,1
HHLA3,1,1,1,0.75,0,0,0,1,1,1,1,0.75
CTH,12,3,3.999557319,0.017578125,0,0,0,1,12,3,3.999557319,0.017578125
PTGER3,0,0,0,1,1,0,Inf,0.5,1,0,Inf,0.5
ZRANB2,0,0,0,1,2,0,Inf,0.25,2,0,Inf,0.25
NEGR1,0,0,0,1,0,0,0,1,0,0,0,1
LRRIQ3,10,14,0.714296887,0.846271873,0,0,0,1,10,14,0.714296887,0.846271873
FPGT,1,4,0.250027597,0.96875,0,0,0,1,1,4,0.250027597,0.96875
TNNI3K,30,45,0.666679322,0.968025042,0,0,0,1,30,45,0.666679322,0.968025042
LRRC53,4,7,0.571442807,0.88671875,0,0,0,1,4,7,0.571442807,0.88671875
CRYZ,26,35,0.742867265,0.899984316,0,0,0,1,26,35,0.742867265,0.899984316
TYW3,0,1,0,1,0,0,0,1,0,1,0,1
LHX8,0,0,0,1,2,0,Inf,0.25,2,0,Inf,0.25
SLC44A5,1,0,Inf,0.5,0,0,0,1,1,0,Inf,0.5
ACADM,0,2,0,1,0,0,0,1,0,2,0,1
RABGGTB,0,2,0,1,0,0,0,1,0,2,0,1
MSH4,11,11,1,0.584094048,0,0,0,1,11,11,1,0.584094048
ASB17,1,2,0.500014255,0.875,0,0,0,1,1,2,0.500014255,0.875
ST6GALNAC3,0,1,0,1,0,0,0,1,0,1,0,1
ST6GALNAC5,0,0,0,1,0,0,0,1,0,0,0,1
PIGK,0,0,0,1,0,0,0,1,0,0,0,1
AK5,0,0,0,1,0,0,0,1,0,0,0,1
USP33,1,1,1,0.75,0,0,0,1,1,1,1,0.75
VAMP3,0,1,0,1,0,0,0,1,0,1,0,1
PER3,4,0,Inf,0.0625,0,0,0,1,4,0,Inf,0.0625
NEXN,4,2,1.99994298,0.34375,0,0,0,1,4,2,1.99994298,0.34375
FUBP1,0,0,0,1,0,0,0,1,0,0,0,1
DNAJB4,0,0,0,1,0,0,0,1,0,0,0,1
GIPC2,6,5,1.199990875,0.5,0,0,0,1,6,5,1.199990875,0.5
UTS2,0,0,0,1,0,0,0,1,0,0,0,1
PTGFR,1,1,1,0.75,0,0,0,1,1,1,1,0.75
IFI44L,1,0,Inf,0.5,0,0,0,1,1,0,Inf,0.5
IFI44,4,4,1,0.63671875,0,0,0,1,4,4,1,0.63671875
TNFRSF9,3,0,Inf,0.125,0,0,0,1,3,0,Inf,0.125
PARK7,0,0,0,1,0,0,0,1,0,0,0,1
ERRFI1,0,0,0,1,0,0,0,1,0,0,0,1
SLC45A1,0,0,0,1,0,0,0,1,0,0,0,1
RERE,0,0,0,1,1,0,Inf,0.5,1,0,Inf,0.5
TTLL7,2,0,Inf,0.25,0,0,0,1,2,0,Inf,0.25
PRKACB,0,2,0,1,0,0,0,1,0,2,0,1
SAMD13,0,0,0,1,0,0,0,1,0,0,0,1
DNASE2B,25,29,0.862074082,0.751691282,0,0,0,1,25,29,0.862074082,0.751691282
RPF1,2,1,1.999942981,0.5,0,0,0,1,2,1,1.999942981,0.5
CTBS,1,0,Inf,0.5,2,0,Inf,0.25,3,0,Inf,0.125
SSX2IP,0,0,0,1,0,0,0,1,0,0,0,1
LPAR3,0,0,0,1,0,0,0,1,0,0,0,1
MCOLN2,14,11,1.272713706,0.345018983,0,0,0,1,14,11,1.272713706,0.345018983
MCOLN3,3,6,0.500014256,0.91015625,0,0,0,1,3,6,0.500014256,0.91015625
WDR63,3,7,0.428557766,0.9453125,0,0,0,1,3,7,0.428557766,0.9453125
SYDE2,12,23,0.521753476,0.979520204,0,0,0,1,12,23,0.521753476,0.979520204
C1orf52,0,0,0,1,0,0,0,1,0,0,0,1
BCL10,1,0,Inf,0.5,0,0,0,1,1,0,Inf,0.5
DDAH1,3,0,Inf,0.125,0,0,0,1,3,0,Inf,0.125
CYR61,0,0,0,1,0,0,0,1,0,0,0,1
ZNHIT6,0,0,0,1,0,0,0,1,0,0,0,1
COL24A1,12,13,0.923102804,0.654981017,0,0,0,1,12,13,0.923102804,0.654981017
ODF2L,27,19,1.421029334,0.150997807,0,0,0,1,27,19,1.421029334,0.150997807
CLCA2,8,15,0.533347692,0.953430176,0,0,0,1,8,15,0.533347692,0.953430176
CLCA1,6,2,3.000079583,0.14453125,0,0,0,1,6,2,3.000079583,0.14453125
CLCA4,43,38,1.131573539,0.328496234,0,0,0,1,43,38,1.131573539,0.328496234
SH3GLB1,0,0,0,1,0,0,0,1,0,0,0,1
HS2ST1,0,0,0,1,0,0,0,1,0,0,0,1
LMO4,0,0,0,1,3,0,Inf,0.125,3,0,Inf,0.125
ENO1,1,0,Inf,0.5,0,0,0,1,1,0,Inf,0.5
PKN2,0,1,0,1,0,0,0,1,0,1,0,1
